btc_usdt from study strategy
2021-07-10
(6,80) 5.96 22 90.91 3.812 2.01 0.27,
(1,20) 4.62 45 71.11 2.401 1.54 0.1,
(5,132) 4.9 31 77.42 2.943 1.56 0.16,
(2,239) 6.63 27 81.48 5.296 0.68 0.25,
(10,214) 4.9 16 75 4.595 0.58 0.31,
2021-07-13
(6,80) 6.19 28 85.71 3.003 2.01 0.22,
(1,120) 4.81 55 67.27 2.032 1.54 0.09,
(5,132) 4.35 37 72.97 2.18 1.56 0.12,
(2,239) 5 29 75.86 2.587 1.53 0.17,
(10,214) 4.22 16 75 2.501 2.2 0.26,
